rec_id,business_name,category,cuisine_type,city_metro,neighborhood,country,address,jacks_verdict,sentiment,platform,source_title,source_url,timestamp,publish_date,score_0_10,praise_strength,repeat,best_of_language,superlatives,dishes_called_out,must_order,price_mentioned,price_tier,city_cat_key,covered,notes
JDR-0110,Da Ovinest,Food Truck,Caribbean,Atlanta,,USA,,"One of the best Atlanta food trucks at Invest Fest, making award-winning Caribbean-inspired oxtail mac and cheese - a lethal combo.",Positive,YouTube (Short),These are the best food trucks in Atlanta #food #atlanta #foodie,https://www.youtube.com/watch?v=z89s_2rI7ak,,2023-08-27,8,High,No,Yes,best Atlanta-based food trucks; award-winning,oxtail mac and cheese,oxtail mac and cheese,,$,Atlanta|Food Truck|Caribbean,Yes,"Name transcribed as 'on TVs' / 'Da Ovinest' - uncertain; at Invest Fest, Atlanta."
JDR-0111,Wild Turkey,Food Truck,Barbecue,Atlanta,,USA,,Atlanta food truck serving insane whole smoked-then-fried jerk turkey legs with house-made barbecue sauce - good luck finishing one alone.,Positive,YouTube (Short),These are the best food trucks in Atlanta #food #atlanta #foodie,https://www.youtube.com/watch?v=z89s_2rI7ak,,2023-08-27,8,Medium,No,Yes,best Atlanta-based food trucks,smoked and fried jerk turkey legs with barbecue sauce,jerk turkey legs,,$,Atlanta|Food Truck|Barbecue,Yes,"At Invest Fest, Atlanta."
JDR-0112,Atlanta Seafood Company,Food Truck,Seafood / Cajun,Atlanta,,USA,,"Atlanta food truck famous for its Obama platter loaded with Cajun-style fried fish, shrimp and chicken; the chicken goes crazy, hit with tartar sauce.",Positive,YouTube (Short),These are the best food trucks in Atlanta #food #atlanta #foodie,https://www.youtube.com/watch?v=z89s_2rI7ak,,2023-08-27,8,Medium,No,Yes,best Atlanta-based food trucks; famous Obama platter,"Obama platter (Cajun fried fish, shrimp, chicken)",Obama platter,,$,Atlanta|Food Truck|Seafood / Cajun,Yes,"At Invest Fest, Atlanta."
JDR-0113,Just Loaf'n,Food Truck,New Orleans / Cajun,Atlanta,,USA,,"One of Atlanta's oldest food trucks, serving traditional New Orleans-style shrimp po boys on Louisiana French bread; don't skip the fried gator bites with house-made sauce.",Positive,YouTube (Short),These are the best food trucks in Atlanta #food #atlanta #foodie,https://www.youtube.com/watch?v=z89s_2rI7ak,,2023-08-27,8,Medium,No,Yes,one of Atlanta's oldest food trucks,shrimp po boy; fried gator bites,shrimp po boy; fried gator bites,,$,Atlanta|Food Truck|New Orleans / Cajun,Yes,"Name transcribed as 'just Loaf and'; at Invest Fest, Atlanta."
JDR-0128,Asador Etxebarri,Restaurant,Spanish (grilled / steak),Atxondo,,Spain,,"Flew all the way to Spain for the second best restaurant in the world; the one-month dry-aged Galician beef is some of the best and highest quality beef he's ever had, brought him to tears.",Positive,YouTube (Short),I flew to Spain to try the second best restaurant in the world 📍Asador Etxebarri #food #steak,https://www.youtube.com/watch?v=hjeBjrrFedc,,2025-07-17,10,High,Yes,Yes,second best restaurant in the world; some of the best tasting and highest quality beef I've ever had; getting emotional over this steak,One-month dry-aged Galician beef steak; Spanish Palamos prawns; Spanish seabream; raw chorizo; grilled sea urchin,Dry-aged Galician beef steak,~$40 per prawn,$$$$,Atxondo|Restaurant|Spanish (grilled / steak),Yes,"Chef Victor (Bittor Arginzoniz), 15 Michelin stars in a row per Jack. Sea urchin was the one dish he didn't like. City inferred (Etxebarri is in Atxondo, Basque Country)."
JDR-0076,Asador Etxebarri,Restaurant,Basque Open-Fire Grill (Tasting Menu),Atxondo,,Spain,,"""the best steak I've ever had in my life""; lived up to the hype",Positive,YouTube (long-form),"Is This the Best Restaurant in the World? ($2,000 dinner!)",https://www.youtube.com/watch?v=3nqAuWjhpDU,00:00,2026-03-04,9,High,Yes,Yes,consistently ranked top two in the world; best steak I've ever had; best prawns I've had,10-year-old Galician beef steak; Palamos prawn; grilled sea urchin; chorizo,10-year-old Galician beef steak,Tasting menu 280-320 euro/pp,$$$$,Atxondo|Restaurant|Basque Open-Fire Grill (Tasting Menu),Yes,"Chef Victor Arguinzoniz; everything touches the flame. Some dishes were misses. ~$2,000 dinner"
JDR-0077,Terry Black's Barbecue,BBQ,Central Texas BBQ,Austin,,USA,,"""the best barbecue I've ever tasted... best beef rib I've ever had""",Positive,YouTube (long-form),Trying the best BBQ in the WORLD with IShowSpeed,https://www.youtube.com/watch?v=zveoRdbaREI,00:50,2025-09-25,10,High,Yes,Yes,best barbecue in the entire country; best beef rib I've ever had in my life,Beef rib (dino rib); brisket; pork ribs; jalapeno cheese sausage,Beef rib (dino rib),,$$,Austin|BBQ|Central Texas BBQ,Yes,Filmed with IShowSpeed; Blacks family Central Texas BBQ since 1930s; Akaushi beef
JDR-0332,Terry Black's Barbecue,BBQ,Texas BBQ,Austin,,USA,,The best barbecue I've ever tasted in my life,Positive,YouTube (Short),Trying what people say is the best BBQ in the world with @IShowSpeed 📍Terry Blacks Austin #bbq,https://www.youtube.com/watch?v=FUbWbY41LBg,,2025-09-17,10,High,Yes,Yes,what people say is the best barbecue in the world,"extra moist brisket, fatty brisket, pork ribs, beef/dino rib",beef rib (dino rib),,,Austin|BBQ|Texas BBQ,Yes,Featured with IShowSpeed
JDR-0349,Terry Black's Barbecue,BBQ,Texas BBQ,Austin,,USA,,"The best thing is the 10-hour slow smoked beef rib, like a T-Rex bone",Positive,YouTube (Short),Trying supposedly the best BBQ in Texas 📍Terry Blacks #bbq #texas #food,https://www.youtube.com/watch?v=5CPnz8hohuw,,2023-11-02,10,High,Yes,Yes,"supposedly the best barbecue in the world, adult Disneyland","brisket, 10-hour slow smoked beef rib",beef rib,,,Austin|BBQ|Texas BBQ,Yes,Has a smoker museum
JDR-0191,LA BBQ,BBQ,BBQ,Austin,,USA,,Tender as ever; the most underrated barbecue joint in all of Texas.,Positive,YouTube (Short),"This is the most underrated bbq in Texas 📍LA BBQ, Austin #bbq #texas #food",https://www.youtube.com/watch?v=WhCHCSCKwxg,,2023-12-08,9,High,No,Yes,most underrated barbecue joint in all of Texas,5-hour smoked ribs; 10-hour prime brisket; 8-hour smoked pulled pork steamed in its own fat,8-hour smoked pulled pork,,,Austin|BBQ|BBQ,Yes,"Run by Chef Ali, one of the only female pitmasters in Texas; smoking meats 20 years."
JDR-0233,Not A Damn Chance (NADC),Bar,Burgers,Austin,,USA,,Looks insane; their house-blend seasoning is insane,Positive,YouTube (Short),"Trying supposedly the best burger in Texas 📍NADC, Austin #burger #texas #austin #food #mukbang",https://www.youtube.com/watch?v=JoCWvPcuW7M,,2023-12-06,9,High,No,Yes,best burger in all of Texas,"smashed wagyu burger with house six-spice seasoning, shaved onions, jalapenos, pickles",wagyu smash burger,,,Austin|Bar|Burgers,Yes,In the back of a bar; two-time Michelin-star chef and a pro skater; no modifications allowed
JDR-0312,KG BBQ,BBQ,Egyptian barbecue,Austin,,United States,,Doing things to barbecue that didn't even exist; delicious,Positive,YouTube (Short),"Trying the new viral Egpytian BBQ 📍KG BBQ, Austin #food #bbq #texas #ribs",https://www.youtube.com/watch?v=6Mv__6IfYzY,,2023-11-07,8,High,No,No,new viral Egyptian barbecue; only BBQ joint in Texas smoking their own lamb chops,smoked lamb chops; lamb ribs; pomegranate BBQ sauce; 12-hour brisket,smoked lamb chops,,,Austin|BBQ|Egyptian barbecue,Yes,Owner Kareem came from Egypt; located in an abandoned parking lot
JDR-0131,Raising Cane's,Fast food chain,American (fried chicken),Baton Rouge,,USA,,Behind-the-scenes look at the famous Cane's Sauce made in house daily and the fresh-baked bread; the sauce is so good you could put it on anything and it would taste good.,Positive,YouTube (Short),Yes Chef Guy caught trying to steal the famous Cane’s Sauce #raisingcanes #food,https://www.youtube.com/watch?v=mL55XQukmiY,,2025-02-27,7,Medium,No,No,you could literally put the sauce on anything and it would taste good,Cane's Sauce; fresh chicken tenderloins (24-hour brine); fresh bread,Chicken tenders with Cane's Sauce,,$,Baton Rouge|Fast food chain|American (fried chicken),Yes,Founder interview; original restaurant opened Aug 1996 in Baton Rouge as a college dream. Franchise brand featured via its founding story.
JDR-0127,Vinny's Cafe,Cafe,Wraps / sandwiches,Boca Raton,,USA,,The internet doesn't miss on this one; the viral chopped chicken Caesar wrap is delicious and earned the third official spot on his White Girl Michelin Guide.,Positive,YouTube (Short),Trying the famous chopped Caesar salad from Vinny’s Cafe Boca Raton Florida #wrap #sandwich wich,https://www.youtube.com/watch?v=Ji4x74zLb6M,,2025-10-08,8,High,No,Yes,the largest wrap I have ever seen; the best chicken Caesar wrap,"Viral chopped chicken Caesar wrap (with choice of chips chopped in, voodoo chips)",Chopped chicken Caesar wrap,,$$,Boca Raton|Cafe|Wraps / sandwiches,Yes,"Boca Raton, Florida. Title spells 'Vinny's'; transcript garbles as 'Vidy's/Vinnie's' - using title spelling."
JDR-0266,Pecan Lodge,BBQ,Texas BBQ,Dallas,,USA,,Making me rethink Terry Black as best beef rib; the reason you come to Texas.,Positive,YouTube (Short),Trying what people say is the best bbq in Dallas PT.2 📍Pecan Lodge #bbq #texas #dallas,https://www.youtube.com/watch?v=pwrF6YDnFJo,,2024-10-02,9,High,Yes,Yes,best bbq in Dallas,10-hour slow smoked beef rib,beef rib,,,Dallas|BBQ|Texas BBQ,Yes,PT.2 clip focused on the beef rib.
JDR-0303,Pecan Lodge,BBQ,Texas barbecue,Dallas,,United States,,"So flavorful, melts in your mouth with an insane wave of smokiness",Positive,YouTube (Short),Trying what a lot of people say is the best bbq in Dallas PT.1📍Pecan Lodge #bbq #texas #meat,https://www.youtube.com/watch?v=fJcIddADKOQ,,2024-10-02,9,High,Yes,Yes,what a lot of people say is the best barbecue in Dallas,15-hour slow smoked brisket; 10-hour beef rib,brisket,,,Dallas|BBQ|Texas barbecue,Yes,"Owner Justin, 15 years, one of the most awarded BBQ chefs in Texas; brisket goes through ~8,000 lb a week"
JDR-0067,I'Girone De'Ghiotti,Sandwich Shop,Italian Sandwiches,Florence,,Italy,,"""This is the best Italian style sandwich in the world.""",Positive,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,00:14,2025-06-29,10,High,Yes,Yes,best Italian style sandwich in the world; my personal favorite,Porchetta with spicy cream; Prosciutto with truffle cream and brie; off-menu Nutella sandwich,Porchetta sandwich; Prosciutto with truffle cream,,$$,Florence|Sandwich Shop|Italian Sandwiches,Yes,Family-run; secret Tuscan ciabatta. Prior JDR video drove it viral
JDR-0174,I'Girone,Sandwich Shop,Italian,Florence,,Italy,,This is the best Italian style sandwich in the world. Nothing else to say.,Positive,YouTube (Short),"Trying the best Sandwich in Florence Italy 📍I’Girone, Florence #sandwich #food #italy #florence",https://www.youtube.com/watch?v=5hToVV86fFE,,2025-04-28,10,High,Yes,Yes,best Italian style sandwich in the world; best porchetta I've ever had,porchetta sandwich; prosciutto with melted brie and truffle cream; off-menu Nutella sandwich,prosciutto with brie and truffle cream sandwich,,,Florence|Sandwich Shop|Italian,Yes,Husband-wife duo; homemade Tuscan ciabatta; locally sourced meats and cheeses.
JDR-0069,Pino's Sandwiches,Sandwich Shop,Italian Sandwiches,Florence,,Italy,,"""Everything in this sandwich works together so well... You can't get this in the US.""",Positive,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,07:14,2025-06-29,9,High,No,No,best of Italy in one sandwich; magical,"Custom porchetta, pesto, onions, eggplant, sun-dried tomatoes, burrata",Pino's custom porchetta/eggplant/burrata sandwich,€7 half,$,Florence|Sandwich Shop|Italian Sandwiches,Yes,Run by Pino 35 years; secret bread recipe
JDR-0089,All'Antico Vinaio,Sandwich Shop,Italian,Florence,,Italy,,"Part of a Florence sandwich crawl; run by a crazy Italian man home-making everything. Known for mortadella with the creamiest stracciatella and pistachio pesto, with bread crisped in the pizza oven that no one else does.",Positive,YouTube (Short),These are the best sandwiches in Florence Italy #italy #sandwich #food #florence,https://www.youtube.com/watch?v=5tIHHAtKtSE,,2025-05-13,9,High,Yes,Yes,"best sandwich shops in Florence, the sandwich capital of the world",mortadella sandwich with stracciatella and homemade pistachio pesto,mortadella with stracciatella and pistachio pesto,,$,Florence|Sandwich Shop|Italian,Yes,Transcribed as 'Chhatzeria Deri' / 'Schiacceria'; interpreted as All'Antico Vinaio style crawl stop. Name uncertain - crisps bread in back pizza oven.
JDR-0090,I Gerani,Sandwich Shop,Italian,Florence,,Italy,,Husband-and-wife duo with the thinnest yet crispiest homemade Tuscan schiacciata bread and locally sourced meats and cheeses. The porchetta sandwich is the bite you travel to Italy for.,Positive,YouTube (Short),These are the best sandwiches in Florence Italy #italy #sandwich #food #florence,https://www.youtube.com/watch?v=5tIHHAtKtSE,,2025-05-13,9,High,No,No,the thinnest yet crispiest homemade Tuscan schiacciata,porchetta sandwich,porchetta sandwich,,$,Florence|Sandwich Shop|Italian,Yes,Transcribed as 'I Geroni'; meats and cheeses from Tuscan farms.
JDR-0091,Pino's,Sandwich Shop,Italian,Florence,,Italy,,Family-run shop with an owner making sandwiches for 35 years. The porchetta special with pesto and burrata cream is incredible with a crazy bread crunch.,Positive,YouTube (Short),These are the best sandwiches in Florence Italy #italy #sandwich #food #florence,https://www.youtube.com/watch?v=5tIHHAtKtSE,,2025-05-13,9,High,No,No,,porchetta special with pesto and burrata cream,porchetta special with pesto and burrata cream,,$,Florence|Sandwich Shop|Italian,Yes,Transcribed as 'Pinos'; family-run 35 years.
JDR-0144,,Restaurant / sandwich shop,Italian (porchetta sandwiches),Florence,,Italy,,"Italy's most famous sandwich shop; after trying almost every sandwich in Florence, this hidden gem was hands down the best, with freshly baked Tuscan schiacciata bread, 8-hour slow-cooked porchetta, and an off-menu Nutella and sea salt sandwich.",Positive,YouTube (Short),This is best sandwich in Florence #food #foodie #italy #sandwich #italianfood #porchetta #florence,https://www.youtube.com/watch?v=m9R7bq7mhvk,,2024-02-24,9,High,No,Yes,Italy's most famous sandwich shop; hands down the best; over 50 million views,8-hour slow-cooked porchetta sandwich; 18-month dry-aged black pepper Tuscan pecorino; off-menu toasted Nutella and sea salt sandwich,Porchetta sandwich,,$,Florence|Restaurant / sandwich shop|Italian (porchetta sandwiches),Yes,"Family-run Florence sandwich shop; specific name not stated in transcript/title/desc, left blank per faithfulness."
JDR-0230,,Steakhouse,Steak / Florentine,Florence,,Italy,,Had no complaints; the dry-aged filet literally evaporates in your mouth,Positive,YouTube (Short),This is the best steakhouse in Florence Italy #steak #food #italy #florence #steakhouse,https://www.youtube.com/watch?v=jsIjXhm3rHc,,2024-02-21,9,High,No,Yes,best steak in all of Florence,"beef tartare with black truffle, Florentine steak, dry-aged filet wrapped in cured pork fat",dry-aged filet wrapped with cured pork fat,,$$$,Florence|Steakhouse|Steak / Florentine,Yes,Venue name not stated in title/desc/transcript; Chianina cattle from Tuscany; sample cuts raw in kitchen
JDR-0234,All'Antico Vinaio,Sandwich Shop,Italian sandwiches,Florence,,Italy,,Unlike anything I have ever seen; look at how sexy this is,Positive,YouTube (Short),Trying the most viral sandwich in Florence #foodie #sandwich #florence full video on TikTok,https://www.youtube.com/watch?v=C7FLuehweIw,,2023-10-23,9,High,Yes,Yes,most famous sandwich in the world,seasonal fig sandwich (August only),seasonal fig sandwich,,$,Florence|Sandwich Shop|Italian sandwiches,Yes,"Referred to as 'Alano' in transcript (All'Antico Vinaio); 10,000 sandwiches a weekend; fresh bread every 5 minutes"
JDR-0258,Trattoria Dall'Oste,Steakhouse,Italian/Steak,Florence,,Italy,,Flavor comes from the beef; tastes clean. Balsamic elevates it so much.,Positive,YouTube (Short),Trying the highest rated steakhouse in Florence Italy! 📍Trattoria Dalloste #steak #food #italy,https://www.youtube.com/watch?v=L_1_HDdeGDU,,2025-04-23,9,High,No,Yes,highest rated steakhouse in Florence; some of the best steaks in Italy,rare bistecca; Italian Wagyu,Italian Wagyu with balsamic,,,Florence|Steakhouse|Italian/Steak,Yes,Dry-ages 12 types of steak; only cooks steak rare. Only Florence spot selling this Italian Wagyu.
JDR-0297,Vivoli,Dessert,Gelato / affogato,Florence,,Italy,,Straight up one of the best things I've had in a long time,Positive,YouTube (Short),Trying what people say is the best affogato in the world📍Vivoli Florence #florence #italy #affogato,https://www.youtube.com/watch?v=FYiBEsQ5wTM,,2025-03-27,9,High,No,Yes,supposedly the best affogato in the world,custard cream affogato; pistachio affogato,affogato (don't mix; dunk gelato in espresso),$6 each,$,Florence|Dessert|Gelato / affogato,Yes,"Vivoli Gelato, open 100 years; fourth-gen owner; 1,700 sold a day"
JDR-0384,All'Antico Vinaio,Sandwich Shop,Italian,Florence,,Italy,,"The most viral sandwich in Florence; a gift from the gods. The porchetta and house-specialty truffle salami are phenomenal, though the sharp crust can hurt your mouth.",Positive,YouTube (Short),Trying the most viral sandwich in Florence PT. 2 #food #italy #mukbang,https://www.youtube.com/watch?v=zLI3062ot9c,,2024-01-11,9,High,Yes,No,most viral sandwich in Florence; this place is phenomenal,fig and prosciutto sandwich; porchetta sandwich with eggplant; truffle salami sandwich,truffle salami sandwich,,$,Florence|Sandwich Shop|Italian,Yes,Transcribed as 'Alano/aleno'; venue is All'Antico Vinaio in Florence. Same brand also appears at Coachella in another Short.
JDR-0386,La Giostra,Restaurant,Italian,Florence,,Italy,,"The best restaurant in Florence, run by 'the Italian Iron Man.' Invented the pear ravioli 30+ years ago; the ravioli, sweet onion pasta, and old Florentine steak are ridiculous.",Positive,YouTube (Short),La Giostra is the best restaurant in Florence #food #pasta #italy,https://www.youtube.com/watch?v=95GSH8MHGYU,,2023-11-01,9,High,No,Yes,best restaurant in Florence; best restaurant in all of Italy,pear ravioli with aged balsamic; sweet onion rotoni; pear pasta with wild boar ragu; Old Florentine steak,pear ravioli; Old Florentine steak,Old Florentine steak €120,$$$,Florence|Restaurant|Italian,Yes,Run by Soldano; free apps delivered to every table on arrival.
JDR-0068,Panini Toscani,Sandwich Shop,Italian Sandwiches,Florence,By the Duomo,Italy,,"Not a tourist trap; really good ingredients, bread genuinely phenomenal",Positive,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,03:59,2025-06-29,8,High,Yes,No,genuinely phenomenal bread,"Porchetta with pecorino, spicy peppers, zucchini, two pestos","Porchetta with pecorino, spicy peppers & zucchini",,$$,Florence|Sandwich Shop|Italian Sandwiches,Yes,Under the Duomo; endless free samples
JDR-0072,Sandwichic,Sandwich Shop,Italian Sandwiches,Florence,,Italy,,"""don't judge a book by its cover... I'm impressed.""",Positive,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,12:06,2025-06-29,8,High,No,No,one of the more unique breads in Florence,Tuscan salami with pecorino and spicy jam; gorgonzola with onion jam,Local Tuscan salami with pecorino and spicy jam,,$$,Florence|Sandwich Shop|Italian Sandwiches,Yes,Hole-in-the-wall; hybrid schiacciata/focaccia bread
JDR-0070,L'antico Trippaio,Street Food,Florentine Tripe (Lampredotto),Florence,,Italy,,"""genuinely a good sandwich""; better than imagined",Positive,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,09:24,2025-06-29,7,Medium,No,No,extremely unique to Florentine culture,"Lampredotto (tripe) sandwich with green sauce, dunked in broth",Lampredotto sandwich,,$,Florence|Street Food|Florentine Tripe (Lampredotto),Yes,Florentine staple street stand
JDR-0071,All'Antico Vinaio,Sandwich Shop,Italian Sandwiches,Florence,,Italy,,"Has to go on the list, but bread not as crunchy; most touristy",Mixed,YouTube (long-form),I Flew To Italy To Try The World's Best Sandwich!,https://www.youtube.com/watch?v=48l6HnYfJAQ,10:22,2025-06-29,7,Medium,Yes,Yes,most famous sandwich shop in all of Florence,"Prosciutto with burrata, truffle cream, spicy eggplant on schiacciata","Prosciutto, burrata & truffle cream with spicy eggplant",,$$,Florence|Sandwich Shop|Italian Sandwiches,Yes,50+ locations worldwide; bread not pressed; touristy pick
JDR-0092,Panini Toscani,Sandwich Shop,Italian,Florence,Duomo,Italy,,"Located right under the Duomo; the only sandwich shop that hands out endless samples, with a peak Italian male owner.",Positive,YouTube (Short),These are the best sandwiches in Florence Italy #italy #sandwich #food #florence,https://www.youtube.com/watch?v=5tIHHAtKtSE,,2025-05-13,7,Medium,Yes,No,only sandwich shop that hands out endless samples,,,,$,Florence|Sandwich Shop|Italian,Yes,Transcript cuts off; located under the Duomo. Name transcribed as 'Panini Tuscani'.
JDR-0148,FN Pasta Fresca,Restaurant / pasta shop,Italian (pasta),Florence,,Italy,,This 6-euro homemade pasta is the best deal in Italy.,Positive,YouTube (Short),This 6 Euro homemade pasta is the best deal in Italy #food #italy #pasta 📍FN Pasta Fresca Florence,https://www.youtube.com/watch?v=jEzVeLgHhe0,,2023-10-25,7,Medium,No,Yes,the best deal in Italy (title),Homemade pasta,,€6 (homemade pasta),$,Florence|Restaurant / pasta shop|Italian (pasta),Yes,No transcript; details from title/location tag only.
JDR-0052,Barry's Downtown Prime,Steakhouse,Steakhouse / American,Las Vegas,Downtown,USA,,"""one of the best steakhouse meals I've had in a long time""",Positive,YouTube (long-form),"$250,000 Las Vegas Experience!",https://www.youtube.com/watch?v=gzJSJaYdkiE,05:54,2024-11-11,10,High,Yes,Yes,one of the best steakhouse meals I've had in a long time,Miyazaki bone-in Tomahawk ribeye; tableside Lobster flambe; Banana Foster,Bone-in Tomahawk ribeye with tableside Lobster flambe,Tomahawk ~$269,$$$$,Las Vegas|Steakhouse|Steakhouse / American,Yes,"Chef 53, in Vegas 27 years"
JDR-0054,Prime Steakhouse,Steakhouse,Steakhouse / American,Las Vegas,Bellagio,USA,,"""one of the coolest dining experiences I've had anywhere in the world""",Positive,YouTube (long-form),"$250,000 Las Vegas Experience!",https://www.youtube.com/watch?v=gzJSJaYdkiE,18:03,2024-11-11,10,High,No,Yes,one of the coolest dining experiences I've ever had in my entire life,A5 Japanese wagyu filet; soy garlic NY strip; molten lava cake,A5 Japanese wagyu filet,A5 wagyu filet $720,$$$$,Las Vegas|Steakhouse|Steakhouse / American,Yes,Jean-Georges' Prime; overlooks Bellagio fountain
JDR-0055,Barry's Downtown Prime,Steakhouse,Steakhouse / American,Las Vegas,Downtown,USA,,"""one of the best steakhouse meals I've had in a long time""; lobster best dish in Vegas",Positive,YouTube (long-form),I Tried Las Vegas’ Most Luxurious Steakhouse!,https://www.youtube.com/watch?v=NXnCsSMkd6M,00:08,2024-12-07,10,High,Yes,Yes,there is not a better dish in Las Vegas (lobster),Tomahawk ribeye; Robins Island ribeye; tableside Lobster flambe,Tableside Lobster flambe with black truffle,Lobster flambe $389,$$$$,Las Vegas|Steakhouse|Steakhouse / American,Yes,Expanded cut of same visit; Viator sponsorship
JDR-0051,Esther's Kitchen,Restaurant,Italian,Las Vegas,Arts District,USA,,"""Esters you smashed it""; phenomenal sourdough and pasta",Positive,YouTube (long-form),"$250,000 Las Vegas Experience!",https://www.youtube.com/watch?v=gzJSJaYdkiE,00:50,2024-11-11,9,High,No,Yes,supposedly the best sourdough bread ever,Sourdough bread; brunch pizza; French toast; black garlic pasta,Sourdough bread,,$$$,Las Vegas|Restaurant|Italian,Yes,Off-strip; six types of flour
JDR-0053,Bouchon,Restaurant,French,Las Vegas,The Venetian,USA,,"""Best egg Benedict I've ever had""",Positive,YouTube (long-form),"$250,000 Las Vegas Experience!",https://www.youtube.com/watch?v=gzJSJaYdkiE,14:12,2024-11-11,9,High,No,Yes,best crab Benedict / egg Benedict I've ever had,Honey loaf pastry; crab Eggs Benedict; fried chicken sandwich,Crab Eggs Benedict,$39,$$$,Las Vegas|Restaurant|French,Yes,Thomas Keller Michelin-star; fried chicken bun a touch cakey
